id,name,category,price,stock,supplier
391,Sweet Strawberries,Produce,2355.39,172,Produce Solutions Inc.
392,Organic Tablet,Electronics,4634.48,122,Electronics Solutions Inc.
393,Gourmet Crackers,Snacks,2415.59,118,Snacks Solutions Inc.
394,Classic Toilet Paper,Household,952.17,173,Household Solutions Inc.
395,Gourmet Coffee,Beverages,297.6,78,Beverages Solutions Inc.
396,Fresh Cake,Bakery,4915.46,102,Bakery Solutions Inc.
397,Golden Rice,Grains,3025.32,198,Grains Solutions Inc.
398,Pure Toothpaste,Personal Care,4605.87,9,Personal Care Solutions Inc.
399,Classic Iced Tea,Beverages,1777.81,141,Beverages Solutions Inc.
400,Fresh Baguette,Bakery,3711.47,63,Bakery Solutions Inc.
401,Premium Croissant,Bakery,3265.44,128,Bakery Solutions Inc.
402,Organic Pretzels,Snacks,880.93,106,Snacks Solutions Inc.
403,Spicy Fish Sticks,Frozen Foods,565.54,162,Frozen Foods Solutions Inc.
404,Instant Soy Milk,Dairy,727.21,66,Dairy Solutions Inc.
405,Fresh Bagel,Bakery,2138.78,161,Bakery Solutions Inc.
406,Organic Broccoli,Produce,1468.89,168,Produce Solutions Inc.
407,Sweet Shampoo,Personal Care,4766.9,0,Personal Care Solutions Inc.
408,Classic Muffin,Bakery,282.73,131,Bakery Solutions Inc.
409,Organic Juice,Beverages,3821.7,21,Beverages Solutions Inc.
410,Organic Gloves,Household,1233.12,52,Household Solutions Inc.
411,Classic Burrito,Frozen Foods,4261.96,12,Frozen Foods Solutions Inc.
412,Spicy Sponge,Household,1629.51,166,Household Solutions Inc.
413,Premium Energy Drink,Beverages,1400.73,148,Beverages Solutions Inc.
414,Golden Gloves,Household,708.55,152,Household Solutions Inc.
415,Golden Shaving Cream,Personal Care,293.76,141,Personal Care Solutions Inc.
416,Gourmet Cottage Cheese,Dairy,4573.97,44,Dairy Solutions Inc.
417,Organic Brownie,Bakery,676.73,34,Bakery Solutions Inc.
418,Organic Smoothie,Beverages,2329.57,70,Beverages Solutions Inc.
419,Organic Yogurt,Dairy,4893.14,64,Dairy Solutions Inc.
420,Spicy Iced Tea,Beverages,4278.53,71,Beverages Solutions Inc.
421,Pure Cleaner,Household,3660.37,40,Household Solutions Inc.
422,Premium Spinach,Produce,2781.44,111,Produce Solutions Inc.
423,Spicy Watch,Electronics,3624.81,78,Electronics Solutions Inc.
424,Instant Cottage Cheese,Dairy,3453.14,51,Dairy Solutions Inc.
425,Classic Water,Beverages,2671.7,75,Beverages Solutions Inc.
426,Golden Strawberries,Produce,2553.82,161,Produce Solutions Inc.
427,Pure Chocolate,Snacks,2440.18,108,Snacks Solutions Inc.
428,Golden Bread,Grains,1470.24,173,Grains Solutions Inc.
429,Instant Chips,Snacks,3720.61,12,Snacks Solutions Inc.
430,Spicy Fabric Softener,Household,4587.09,163,Household Solutions Inc.
431,Fresh Soap,Personal Care,24.98,176,Personal Care Solutions Inc.
432,Pure Brownie,Bakery,3615.78,92,Bakery Solutions Inc.
433,Organic Pasta,Grains,1380.8,4,Grains Solutions Inc.
434,Premium Apples,Produce,3887.77,10,Produce Solutions Inc.
435,Pure Trash Bags,Household,2763.65,13,Household Solutions Inc.
436,Golden Sourdough,Bakery,4305.33,66,Bakery Solutions Inc.
437,Sweet Camera,Electronics,2442.11,45,Electronics Solutions Inc.
438,Fresh Vegetables,Frozen Foods,2216.78,86,Frozen Foods Solutions Inc.
439,Pure Quinoa,Grains,2916.59,24,Grains Solutions Inc.
440,Spicy Camera,Electronics,2775.06,184,Electronics Solutions Inc.
441,Fresh Pizza,Frozen Foods,4520.26,48,Frozen Foods Solutions Inc.
442,Golden Face Wash,Personal Care,1953.14,43,Personal Care Solutions Inc.
443,Spicy Baguette,Bakery,2650.83,93,Bakery Solutions Inc.
444,Instant Bananas,Produce,4179.04,149,Produce Solutions Inc.
445,Gourmet Popcorn,Snacks,835.45,34,Snacks Solutions Inc.
446,Fresh Cream,Dairy,4063.97,168,Dairy Solutions Inc.
447,Gourmet Pretzels,Snacks,2399.02,164,Snacks Solutions Inc.
448,Premium Paper Towel,Household,1968.25,3,Household Solutions Inc.
449,Classic Rice,Grains,1533.45,144,Grains Solutions Inc.
450,Gourmet Cottage Cheese,Dairy,2506.12,33,Dairy Solutions Inc.
451,Gourmet Broccoli,Produce,707.29,131,Produce Solutions Inc.
452,Classic Cheese,Dairy,4411.27,82,Dairy Solutions Inc.
453,Gourmet Bananas,Produce,1630.31,145,Produce Solutions Inc.
454,Instant Carrots,Produce,4661.65,167,Produce Solutions Inc.
455,Premium Tortilla,Bakery,491.24,142,Bakery Solutions Inc.
456,Spicy Croissant,Bakery,4165.28,97,Bakery Solutions Inc.
457,Gourmet Carrots,Produce,1897.58,5,Produce Solutions Inc.
458,Spicy Apples,Produce,645.3,188,Produce Solutions Inc.
459,Golden Grapes,Produce,4736.07,51,Produce Solutions Inc.
460,Spicy Baguette,Bakery,1630.01,126,Bakery Solutions Inc.
461,Pure Burrito,Frozen Foods,1047.61,179,Frozen Foods Solutions Inc.
462,Premium Ice Cream,Frozen Foods,392.26,188,Frozen Foods Solutions Inc.
463,Sweet Disinfectant,Household,1713.74,19,Household Solutions Inc.
464,Gourmet Disinfectant,Household,344.29,37,Household Solutions Inc.
465,Golden Pretzels,Snacks,908.53,174,Snacks Solutions Inc.
466,Organic Baguette,Bakery,190.82,57,Bakery Solutions Inc.
467,Organic Cleaner,Household,257.86,70,Household Solutions Inc.
468,Classic Cleaner,Household,1239.83,160,Household Solutions Inc.
469,Instant Trash Bags,Household,1373.97,39,Household Solutions Inc.
470,Pure Paper Towel,Household,971.31,84,Household Solutions Inc.
471,Classic Apples,Produce,1235.24,159,Produce Solutions Inc.
472,Premium Fish Sticks,Frozen Foods,2043.9,171,Frozen Foods Solutions Inc.
473,Gourmet Bananas,Produce,4448.34,82,Produce Solutions Inc.
474,Sweet Dumplings,Frozen Foods,916.9,175,Frozen Foods Solutions Inc.
475,Golden Margarine,Dairy,1254.3,192,Dairy Solutions Inc.
476,Golden Grapes,Produce,1484.58,168,Produce Solutions Inc.
477,Classic Mouthwash,Personal Care,667.96,6,Personal Care Solutions Inc.
478,Golden Toothpaste,Personal Care,3514.0,17,Personal Care Solutions Inc.
479,Fresh Lentils,Grains,4268.78,80,Grains Solutions Inc.
480,Sweet Cream,Dairy,4732.13,35,Dairy Solutions Inc.
481,Gourmet Waffles,Frozen Foods,4940.28,146,Frozen Foods Solutions Inc.
482,Premium Energy Bar,Snacks,1139.65,21,Snacks Solutions Inc.
483,Organic Monitor,Electronics,960.98,150,Electronics Solutions Inc.
484,Pure Fruit Bar,Snacks,444.84,30,Snacks Solutions Inc.
485,Sweet Sunscreen,Personal Care,1412.59,131,Personal Care Solutions Inc.
486,Golden Pie,Bakery,3959.83,73,Bakery Solutions Inc.
487,Sweet Milk,Dairy,4365.39,192,Dairy Solutions Inc.
488,Organic Grapes,Produce,1329.83,138,Produce Solutions Inc.
489,Sweet Mouthwash,Personal Care,1133.93,131,Personal Care Solutions Inc.
490,Pure Vegetables,Frozen Foods,4104.02,46,Frozen Foods Solutions Inc.
491,Sweet Monitor,Electronics,3863.69,29,Electronics Solutions Inc.
492,Pure Water,Beverages,3234.18,166,Beverages Solutions Inc.
493,Classic Lentils,Grains,2536.91,44,Grains Solutions Inc.
494,Pure Milk,Dairy,2099.51,4,Dairy Solutions Inc.
495,Spicy Dumplings,Frozen Foods,3112.22,170,Frozen Foods Solutions Inc.
496,Sweet Beans,Grains,3411.86,78,Grains Solutions Inc.
497,Sweet Chips,Snacks,2701.5,137,Snacks Solutions Inc.
498,Organic Paper Towel,Household,911.87,16,Household Solutions Inc.
499,Premium Lemonade,Beverages,4224.12,92,Beverages Solutions Inc.
500,Gourmet Dumplings,Frozen Foods,1586.85,0,Frozen Foods Solutions Inc.
501,Gourmet Bread,Grains,2020.9,11,Grains Solutions Inc.
502,Premium Cheese,Dairy,4924.52,29,Dairy Solutions Inc.
503,Classic Sourdough,Bakery,3309.57,106,Bakery Solutions Inc.
504,Golden Watch,Electronics,3762.99,54,Electronics Solutions Inc.
505,Premium Broccoli,Produce,4831.08,191,Produce Solutions Inc.
506,Sweet Gloves,Household,3771.58,56,Household Solutions Inc.
507,Classic Margarine,Dairy,3168.87,61,Dairy Solutions Inc.
508,Premium Trash Bags,Household,4636.19,126,Household Solutions Inc.
509,Pure Cottage Cheese,Dairy,281.77,180,Dairy Solutions Inc.
510,Sweet Tortilla,Bakery,3274.7,158,Bakery Solutions Inc.
511,Organic Sourdough,Bakery,744.51,155,Bakery Solutions Inc.
512,Classic Bread,Grains,630.07,46,Grains Solutions Inc.
513,Organic Nuts,Snacks,3372.63,162,Snacks Solutions Inc.
514,Classic Spinach,Produce,4628.61,90,Produce Solutions Inc.
515,Spicy Tomatoes,Produce,947.17,1,Produce Solutions Inc.
516,Organic Coffee,Beverages,4561.81,100,Beverages Solutions Inc.
517,Gourmet Energy Bar,Snacks,1915.19,71,Snacks Solutions Inc.
518,Spicy Bread,Grains,3261.36,172,Grains Solutions Inc.
519,Pure Quinoa,Grains,3919.98,27,Grains Solutions Inc.
520,Sweet Broccoli,Produce,2955.92,88,Produce Solutions Inc.
521,Fresh Smartphone,Electronics,3551.83,101,Electronics Solutions Inc.
522,Golden Waffles,Frozen Foods,4779.5,79,Frozen Foods Solutions Inc.
523,Spicy Spinach,Produce,3282.84,104,Produce Solutions Inc.
524,Golden Fruit Bar,Snacks,2778.9,106,Snacks Solutions Inc.
525,Organic Toothpaste,Personal Care,4743.44,191,Personal Care Solutions Inc.
526,Classic Soy Milk,Dairy,800.11,151,Dairy Solutions Inc.
527,Premium Camera,Electronics,713.91,65,Electronics Solutions Inc.
528,Classic Fabric Softener,Household,1843.21,56,Household Solutions Inc.
529,Sweet Toothpaste,Personal Care,774.98,1,Personal Care Solutions Inc.
530,Gourmet Headphones,Electronics,2790.17,4,Electronics Solutions Inc.
531,Instant Monitor,Electronics,517.82,73,Electronics Solutions Inc.
532,Organic Sourdough,Bakery,2087.95,44,Bakery Solutions Inc.
533,Golden Lotion,Personal Care,4632.58,194,Personal Care Solutions Inc.
534,Spicy Juice,Beverages,2844.98,186,Beverages Solutions Inc.
535,Organic Paper Towel,Household,3638.89,16,Household Solutions Inc.
536,Organic Spinach,Produce,2698.33,183,Produce Solutions Inc.
537,Instant Nuts,Snacks,596.93,47,Snacks Solutions Inc.
538,Golden Grapes,Produce,4190.15,8,Produce Solutions Inc.
539,Spicy Cleaner,Household,3090.78,188,Household Solutions Inc.
540,Organic Cereal,Grains,3982.52,34,Grains Solutions Inc.
541,Pure Bread,Grains,2056.54,0,Grains Solutions Inc.
542,Gourmet Sourdough,Bakery,291.4,171,Bakery Solutions Inc.
543,Organic Rice,Grains,1819.49,111,Grains Solutions Inc.
544,Golden Bananas,Produce,3533.55,173,Produce Solutions Inc.
545,Premium Energy Bar,Snacks,4069.09,59,Snacks Solutions Inc.
546,Golden Popcorn,Snacks,4641.98,67,Snacks Solutions Inc.
547,Classic Flour,Grains,2040.75,80,Grains Solutions Inc.
548,Organic Fish Sticks,Frozen Foods,2570.26,179,Frozen Foods Solutions Inc.
549,Fresh Keyboard,Electronics,2259.7,1,Electronics Solutions Inc.
550,Spicy Pizza,Frozen Foods,1923.49,58,Frozen Foods Solutions Inc.
551,Premium Fabric Softener,Household,4416.03,162,Household Solutions Inc.
552,Gourmet Yogurt,Dairy,3539.92,130,Dairy Solutions Inc.
553,Organic Keyboard,Electronics,3662.34,87,Electronics Solutions Inc.
554,Pure Headphones,Electronics,2056.88,113,Electronics Solutions Inc.
555,Golden Vegetables,Frozen Foods,160.15,67,Frozen Foods Solutions Inc.
556,Sweet Soap,Household,2317.03,192,Household Solutions Inc.
557,Spicy Barley,Grains,1944.51,107,Grains Solutions Inc.
558,Premium Popcorn,Snacks,2495.84,164,Snacks Solutions Inc.
559,Gourmet Coconut Water,Beverages,1272.76,5,Beverages Solutions Inc.
560,Golden Sourdough,Bakery,1355.48,129,Bakery Solutions Inc.
561,Gourmet Tablet,Electronics,3980.61,117,Electronics Solutions Inc.
562,Golden Mouthwash,Personal Care,3370.82,196,Personal Care Solutions Inc.
563,Sweet Beans,Grains,2243.91,148,Grains Solutions Inc.
564,Pure Fruit Bar,Snacks,4123.44,113,Snacks Solutions Inc.
565,Spicy Ice Cream,Frozen Foods,1664.44,86,Frozen Foods Solutions Inc.
566,Classic Watch,Electronics,3514.29,107,Electronics Solutions Inc.
567,Gourmet Detergent,Household,219.56,38,Household Solutions Inc.
568,Instant Donut,Bakery,50.74,71,Bakery Solutions Inc.
569,Classic Grapes,Produce,1642.6,124,Produce Solutions Inc.
570,Sweet Brownie,Bakery,313.74,101,Bakery Solutions Inc.
571,Gourmet Cereal,Grains,4360.48,15,Grains Solutions Inc.
572,Classic Shampoo,Personal Care,1268.78,59,Personal Care Solutions Inc.
573,Classic Monitor,Electronics,2279.06,143,Electronics Solutions Inc.
574,Premium Iced Tea,Beverages,2127.9,147,Beverages Solutions Inc.
575,Spicy Smartphone,Electronics,4502.86,34,Electronics Solutions Inc.
576,Pure Chicken Nuggets,Frozen Foods,3738.52,192,Frozen Foods Solutions Inc.
577,Pure Yogurt,Dairy,1277.02,11,Dairy Solutions Inc.
578,Gourmet Soy Milk,Dairy,1460.61,144,Dairy Solutions Inc.
579,Premium Croissant,Bakery,3142.28,100,Bakery Solutions Inc.
580,Organic Bagel,Bakery,4915.53,154,Bakery Solutions Inc.
581,Golden Fabric Softener,Household,2006.1,60,Household Solutions Inc.
582,Classic Toothpaste,Personal Care,3878.96,142,Personal Care Solutions Inc.
583,Sweet Gloves,Household,1818.7,77,Household Solutions Inc.
584,Spicy Headphones,Electronics,3361.38,118,Electronics Solutions Inc.
585,Premium Yogurt,Dairy,893.48,24,Dairy Solutions Inc.
586,Fresh Spinach,Produce,2678.53,132,Produce Solutions Inc.
587,Premium Smoothie,Beverages,2422.66,135,Beverages Solutions Inc.
588,Sweet Apples,Produce,69.45,55,Produce Solutions Inc.
589,Spicy Sponge,Household,4661.52,144,Household Solutions Inc.
590,Sweet Speaker,Electronics,342.74,178,Electronics Solutions Inc.
591,Organic Lotion,Personal Care,1103.05,86,Personal Care Solutions Inc.
592,Pure Mouse,Electronics,4757.82,105,Electronics Solutions Inc.
593,Sweet Tortilla,Bakery,68.42,177,Bakery Solutions Inc.
594,Gourmet Potatoes,Produce,1724.05,177,Produce Solutions Inc.
595,Premium Bagel,Bakery,4075.41,73,Bakery Solutions Inc.
596,Spicy Burrito,Frozen Foods,2933.13,23,Frozen Foods Solutions Inc.
597,Pure Water,Beverages,500.48,73,Beverages Solutions Inc.
598,Premium Toothpaste,Personal Care,1722.29,107,Personal Care Solutions Inc.
599,Golden Tea,Beverages,4119.17,81,Beverages Solutions Inc.
600,Fresh Broccoli,Produce,3111.58,2,Produce Solutions Inc.
601,Organic Sourdough,Bakery,3756.69,139,Bakery Solutions Inc.
602,Fresh Bagel,Bakery,4996.86,23,Bakery Solutions Inc.
603,Instant Cheese,Dairy,4036.46,28,Dairy Solutions Inc.
604,Gourmet Fruit Bar,Snacks,1680.82,51,Snacks Solutions Inc.
605,Golden Ice Cream,Frozen Foods,2402.34,36,Frozen Foods Solutions Inc.
606,Pure Sponge,Household,1168.24,199,Household Solutions Inc.
607,Instant Soap,Personal Care,4220.86,21,Personal Care Solutions Inc.
608,Fresh Milk,Dairy,3410.3,139,Dairy Solutions Inc.
609,Gourmet Headphones,Electronics,3446.55,11,Electronics Solutions Inc.
610,Organic Dumplings,Frozen Foods,3686.27,28,Frozen Foods Solutions Inc.
611,Pure Juice,Beverages,597.5,66,Beverages Solutions Inc.
612,Classic Cream,Dairy,837.75,3,Dairy Solutions Inc.
613,Premium Camera,Electronics,2893.9,46,Electronics Solutions Inc.
614,Sweet Dumplings,Frozen Foods,4789.56,5,Frozen Foods Solutions Inc.
615,Instant Pizza,Frozen Foods,4199.06,116,Frozen Foods Solutions Inc.
616,Organic Oats,Grains,2996.26,189,Grains Solutions Inc.
617,Spicy Toothpaste,Personal Care,562.05,155,Personal Care Solutions Inc.
618,Instant Yogurt,Dairy,4104.21,198,Dairy Solutions Inc.
619,Gourmet Bread,Grains,4112.68,140,Grains Solutions Inc.
620,Premium Laptop,Electronics,435.28,44,Electronics Solutions Inc.
621,Golden Grapes,Produce,232.46,190,Produce Solutions Inc.
622,Gourmet Deodorant,Personal Care,2278.09,54,Personal Care Solutions Inc.
623,Golden Shaving Cream,Personal Care,29.46,147,Personal Care Solutions Inc.
624,Classic Pretzels,Snacks,3442.33,143,Snacks Solutions Inc.
625,Pure Burrito,Frozen Foods,3359.01,28,Frozen Foods Solutions Inc.
626,Classic Iced Tea,Beverages,4030.9,95,Beverages Solutions Inc.
627,Pure Bananas,Produce,1157.88,43,Produce Solutions Inc.
628,Gourmet Muffin,Bakery,4221.04,123,Bakery Solutions Inc.
629,Fresh Milk,Dairy,3454.75,127,Dairy Solutions Inc.
630,Classic Pizza,Frozen Foods,4618.37,91,Frozen Foods Solutions Inc.
631,Premium Watch,Electronics,791.74,33,Electronics Solutions Inc.
632,Premium Carrots,Produce,3489.02,178,Produce Solutions Inc.
633,Spicy Soy Milk,Dairy,918.62,4,Dairy Solutions Inc.
634,Gourmet Dumplings,Frozen Foods,4889.96,51,Frozen Foods Solutions Inc.
635,Premium Lemonade,Beverages,2697.27,128,Beverages Solutions Inc.
636,Classic Yogurt,Dairy,2234.6,196,Dairy Solutions Inc.
637,Instant Headphones,Electronics,65.47,15,Electronics Solutions Inc.
638,Classic Chicken Nuggets,Frozen Foods,780.73,50,Frozen Foods Solutions Inc.
639,Classic Waffles,Frozen Foods,2172.46,42,Frozen Foods Solutions Inc.
640,Fresh Cereal,Grains,3190.15,8,Grains Solutions Inc.
641,Gourmet Chips,Snacks,1021.9,37,Snacks Solutions Inc.
642,Organic Brownie,Bakery,591.28,128,Bakery Solutions Inc.
643,Classic Cream,Dairy,4792.84,119,Dairy Solutions Inc.
644,Sweet Lemonade,Beverages,1190.06,124,Beverages Solutions Inc.
645,Premium Lemonade,Beverages,2208.22,173,Beverages Solutions Inc.
646,Pure Vegetables,Frozen Foods,4315.77,117,Frozen Foods Solutions Inc.
647,Golden Rice,Grains,1439.06,178,Grains Solutions Inc.
648,Spicy Tomatoes,Produce,2876.12,122,Produce Solutions Inc.
649,Gourmet Cottage Cheese,Dairy,3913.06,191,Dairy Solutions Inc.
650,Fresh Margarine,Dairy,4606.39,111,Dairy Solutions Inc.
651,Pure Rice Cakes,Snacks,3853.31,17,Snacks Solutions Inc.
652,Gourmet Smartphone,Electronics,1819.6,123,Electronics Solutions Inc.
653,Organic Flour,Grains,1013.84,50,Grains Solutions Inc.
654,Golden Sour Cream,Dairy,4586.14,136,Dairy Solutions Inc.
655,Gourmet Strawberries,Produce,4756.29,196,Produce Solutions Inc.
656,Golden Pretzels,Snacks,336.15,55,Snacks Solutions Inc.
657,Instant Monitor,Electronics,4261.27,141,Electronics Solutions Inc.
658,Fresh Fries,Frozen Foods,3085.77,54,Frozen Foods Solutions Inc.
659,Gourmet Pie,Bakery,3933.48,108,Bakery Solutions Inc.
660,Pure Camera,Electronics,2926.17,163,Electronics Solutions Inc.
661,Golden Pasta,Grains,2072.2,185,Grains Solutions Inc.
662,Premium Butter,Dairy,1436.67,95,Dairy Solutions Inc.
663,Spicy Rice Cakes,Snacks,1438.15,103,Snacks Solutions Inc.
664,Sweet Speaker,Electronics,1061.31,47,Electronics Solutions Inc.
665,Spicy Apples,Produce,3830.02,180,Produce Solutions Inc.
666,Gourmet Tortilla,Bakery,147.88,51,Bakery Solutions Inc.
667,Gourmet Cream,Dairy,1997.87,102,Dairy Solutions Inc.
668,Gourmet Camera,Electronics,4783.79,46,Electronics Solutions Inc.
669,Gourmet Pizza,Frozen Foods,2500.56,120,Frozen Foods Solutions Inc.
670,Golden Cream,Dairy,4366.83,110,Dairy Solutions Inc.
671,Organic Monitor,Electronics,275.96,98,Electronics Solutions Inc.
672,Sweet Cheese,Dairy,4837.22,112,Dairy Solutions Inc.
673,Classic Lemonade,Beverages,525.18,19,Beverages Solutions Inc.
674,Classic Shampoo,Personal Care,3424.82,173,Personal Care Solutions Inc.
675,Spicy Butter,Dairy,1313.89,11,Dairy Solutions Inc.
676,Spicy Waffles,Frozen Foods,1811.38,94,Frozen Foods Solutions Inc.
677,Instant Onions,Produce,1315.87,22,Produce Solutions Inc.
678,Sweet Cake,Bakery,4065.9,189,Bakery Solutions Inc.
679,Organic Cream,Dairy,4066.27,65,Dairy Solutions Inc.
680,Instant Crackers,Snacks,3524.61,159,Snacks Solutions Inc.
681,Pure Disinfectant,Household,1807.99,6,Household Solutions Inc.
682,Classic Quinoa,Grains,1402.02,122,Grains Solutions Inc.
683,Classic Smartphone,Electronics,1664.97,89,Electronics Solutions Inc.
684,Pure Pizza,Frozen Foods,2635.83,158,Frozen Foods Solutions Inc.
685,Classic Pie,Bakery,411.1,43,Bakery Solutions Inc.
686,Golden Hair Gel,Personal Care,933.66,103,Personal Care Solutions Inc.
687,Spicy Camera,Electronics,1708.43,95,Electronics Solutions Inc.
688,Premium Trash Bags,Household,3489.46,175,Household Solutions Inc.
689,Classic Rice,Grains,831.98,125,Grains Solutions Inc.
690,Instant Apples,Produce,2345.09,2,Produce Solutions Inc.
691,Premium Laptop,Electronics,1923.62,54,Electronics Solutions Inc.
692,Pure Lentils,Grains,3333.45,107,Grains Solutions Inc.
693,Instant Nuts,Snacks,4233.19,67,Snacks Solutions Inc.
694,Fresh Dumplings,Frozen Foods,1086.18,171,Frozen Foods Solutions Inc.
695,Premium Pretzels,Snacks,1939.3,20,Snacks Solutions Inc.
696,Pure Dumplings,Frozen Foods,2655.03,39,Frozen Foods Solutions Inc.
697,Premium Grapes,Produce,118.84,176,Produce Solutions Inc.
698,Sweet Vegetables,Frozen Foods,4927.77,184,Frozen Foods Solutions Inc.
699,Organic Smoothie,Beverages,556.91,55,Beverages Solutions Inc.
700,Fresh Bagel,Bakery,4131.15,66,Bakery Solutions Inc.
701,Golden Cookies,Snacks,995.59,171,Snacks Solutions Inc.
702,Instant Cleaner,Household,2231.56,90,Household Solutions Inc.
703,Fresh Potatoes,Produce,4323.84,185,Produce Solutions Inc.
704,Instant Spinach,Produce,3155.85,162,Produce Solutions Inc.
705,Golden Onions,Produce,1274.63,138,Produce Solutions Inc.
706,Pure Sponge,Household,3546.41,173,Household Solutions Inc.
707,Classic Paper Towel,Household,2359.01,103,Household Solutions Inc.
708,Gourmet Brownie,Bakery,2037.74,15,Bakery Solutions Inc.
709,Classic Camera,Electronics,4702.81,140,Electronics Solutions Inc.
710,Classic Strawberries,Produce,944.8,130,Produce Solutions Inc.
711,Fresh Gloves,Household,2610.6,120,Household Solutions Inc.
712,Fresh Tablet,Electronics,493.49,98,Electronics Solutions Inc.
713,Sweet Shaving Cream,Personal Care,3220.22,165,Personal Care Solutions Inc.
714,Classic Juice,Beverages,3978.17,101,Beverages Solutions Inc.
715,Fresh Tablet,Electronics,1496.26,41,Electronics Solutions Inc.
716,Sweet Oats,Grains,3306.18,126,Grains Solutions Inc.
717,Golden Pie,Bakery,1003.88,173,Bakery Solutions Inc.
718,Sweet Deodorant,Personal Care,1461.77,109,Personal Care Solutions Inc.
719,Golden Keyboard,Electronics,1803.05,107,Electronics Solutions Inc.
720,Gourmet Bananas,Produce,424.26,71,Produce Solutions Inc.
721,Organic Bananas,Produce,1055.53,155,Produce Solutions Inc.
722,Sweet Speaker,Electronics,4275.79,198,Electronics Solutions Inc.
723,Sweet Camera,Electronics,3514.27,76,Electronics Solutions Inc.
724,Fresh Barley,Grains,3486.48,133,Grains Solutions Inc.
725,Premium Muffin,Bakery,2152.45,108,Bakery Solutions Inc.
726,Spicy Energy Drink,Beverages,4724.03,181,Beverages Solutions Inc.
727,Spicy Sour Cream,Dairy,4826.34,32,Dairy Solutions Inc.
728,Gourmet Iced Tea,Beverages,1803.95,82,Beverages Solutions Inc.
729,Golden Chips,Snacks,2018.43,45,Snacks Solutions Inc.
730,Organic Soda,Beverages,779.37,198,Beverages Solutions Inc.
731,Classic Margarine,Dairy,3742.77,72,Dairy Solutions Inc.
732,Spicy Speaker,Electronics,2073.74,177,Electronics Solutions Inc.
733,Pure Energy Bar,Snacks,403.28,166,Snacks Solutions Inc.
734,Gourmet Toothpaste,Personal Care,4458.86,198,Personal Care Solutions Inc.
735,Spicy Mouse,Electronics,1808.39,153,Electronics Solutions Inc.
736,Premium Carrots,Produce,3275.71,24,Produce Solutions Inc.
737,Instant Bananas,Produce,689.55,126,Produce Solutions Inc.
738,Fresh Soda,Beverages,1678.92,39,Beverages Solutions Inc.
739,Gourmet Soda,Beverages,3715.79,116,Beverages Solutions Inc.
740,Instant Tea,Beverages,4542.14,125,Beverages Solutions Inc.
741,Organic Coconut Water,Beverages,2900.25,75,Beverages Solutions Inc.
742,Organic Chicken Nuggets,Frozen Foods,3575.56,114,Frozen Foods Solutions Inc.
743,Golden Disinfectant,Household,3605.84,61,Household Solutions Inc.
744,Classic Spinach,Produce,493.86,199,Produce Solutions Inc.
745,Pure Watch,Electronics,435.0,6,Electronics Solutions Inc.
746,Instant Speaker,Electronics,1407.13,191,Electronics Solutions Inc.
747,Gourmet Shampoo,Personal Care,3488.6,81,Personal Care Solutions Inc.
748,Premium Crackers,Snacks,149.5,55,Snacks Solutions Inc.
749,Sweet Fries,Frozen Foods,1026.0,197,Frozen Foods Solutions Inc.
750,Premium Pretzels,Snacks,1931.34,35,Snacks Solutions Inc.
751,Sweet Shaving Cream,Personal Care,1072.47,8,Personal Care Solutions Inc.
752,Fresh Tea,Beverages,1901.84,179,Beverages Solutions Inc.
753,Golden Laptop,Electronics,252.67,0,Electronics Solutions Inc.
754,Classic Soap,Personal Care,2766.86,173,Personal Care Solutions Inc.
755,Fresh Quinoa,Grains,4909.78,104,Grains Solutions Inc.
756,Sweet Croissant,Bakery,4117.02,32,Bakery Solutions Inc.
757,Classic Donut,Bakery,1340.42,192,Bakery Solutions Inc.
758,Classic Coffee,Beverages,3437.87,167,Beverages Solutions Inc.
759,Spicy Hair Gel,Personal Care,1041.44,119,Personal Care Solutions Inc.
760,Pure Energy Bar,Snacks,2990.92,149,Snacks Solutions Inc.
761,Classic Tortilla,Bakery,3484.84,30,Bakery Solutions Inc.
762,Golden Lentils,Grains,3139.9,71,Grains Solutions Inc.
763,Spicy Cream,Dairy,4243.93,48,Dairy Solutions Inc.
764,Organic Mouthwash,Personal Care,3414.07,121,Personal Care Solutions Inc.
765,Premium Soap,Household,2629.8,113,Household Solutions Inc.
766,Pure Fries,Frozen Foods,3854.54,48,Frozen Foods Solutions Inc.
767,Classic Brownie,Bakery,397.34,26,Bakery Solutions Inc.
768,Instant Baguette,Bakery,1834.38,7,Bakery Solutions Inc.
769,Sweet Mouthwash,Personal Care,4280.63,96,Personal Care Solutions Inc.
770,Sweet Broccoli,Produce,2594.23,151,Produce Solutions Inc.
771,Premium Monitor,Electronics,4030.02,165,Electronics Solutions Inc.
772,Pure Headphones,Electronics,1602.89,104,Electronics Solutions Inc.
773,Classic Lemonade,Beverages,3648.44,4,Beverages Solutions Inc.
774,Instant Crackers,Snacks,1042.79,70,Snacks Solutions Inc.
775,Pure Mouse,Electronics,2846.87,42,Electronics Solutions Inc.
776,Golden Speaker,Electronics,566.9,163,Electronics Solutions Inc.
777,Sweet Iced Tea,Beverages,2870.71,118,Beverages Solutions Inc.
778,Sweet Crackers,Snacks,2421.77,199,Snacks Solutions Inc.
779,Golden Nuts,Snacks,680.55,111,Snacks Solutions Inc.
780,Classic Bread,Grains,169.92,148,Grains Solutions Inc.
